,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.00282,0.0003574,0.0
7,0.00413,0.01864,0.0600635,0.0863226
8,0.02085,0.03836,0.21688069999999998,0.2610103
9,0.04635,0.07254,0.36646280000000003,0.43553179999999997
10,0.00434,0.00683,0.4785181,0.4990843
11,0.00221,0.00331,0.5382809,0.5413468
12,0.0484,0.06225,0.5289041999999999,0.5295814
13,0.04229,0.05232,0.4685901,0.45349680000000003
14,0.01202,0.01586,0.357639,0.3282752
15,0.00486,0.00594,0.2056838,0.1600023
16,0.01383,0.01203,0.041208,0.0147082
17,0.01292,0.00144,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.00115,0.00034649999999999997,0.0
31,0.00247,0.01864,0.0624363,0.085211
32,0.01596,0.05218,0.23383279999999998,0.26408960000000004
33,0.05543,0.14037,0.3877401,0.3967355
34,0.17363,0.34297,0.4885681,0.4961972
35,0.31266,0.52576,0.5468489,0.5466249000000001
36,0.3529,0.5546,0.5496337,0.5322653
37,0.25847,0.41634,0.4868558,0.45964960000000005
38,0.35449,0.46259,0.3837933,0.3317506
39,0.16092,0.21258,0.2205073,0.1597218
40,0.01351,0.02009,0.0299175,0.013621000000000001
41,0.01363,0.00168,0.0004123,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0001538,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.00219,0.0008068,0.0
55,0.02426,0.11176,0.061125700000000005,0.0867874
56,0.09919,0.22315,0.2194757,0.2551027
57,0.16471,0.33392,0.3753854,0.39978579999999997
58,0.38252,0.58875,0.4710028,0.4878241
59,0.57058,0.74994,0.5062428,0.5358406
60,0.65213,0.78712,0.515215,0.5278952
61,0.60904,0.70713,0.44075729999999996,0.4564202
62,0.44388,0.52057,0.269137,0.33064499999999997
63,0.23647,0.27969,0.0916663,0.16251929999999998
