,0
526,723.36
527,539.41
528,398.1
529,294.02
530,186.23
531,213.25
532,230.57
533,361.25
534,495.56
535,556.37
536,539.97
537,528.8
538,523.94
539,827.81
540,517.68
541,424.78
542,449.58
543,361.42
544,638.07
545,708.51
546,708.84
547,1046.08
548,1162.64
549,699.56
550,772.01
551,598.59
552,369.48
553,232.58
554,202.51
555,169.21
556,256.29
557,297.98
558,442.19
559,530.27
560,664.23
561,661.93
562,741.74
563,410.84
564,417.34
565,409.19
566,464.5
567,471.76
568,442.18
569,841.18
570,1000.65
571,978.47
572,913.2
573,785.54
574,664.35
575,309.76
576,311.4
577,219.31
578,144.66
579,214.32
580,188.09
581,369.24
582,410.15
583,519.56
584,759.48
585,574.2
586,549.12
587,671.95
588,678.85
589,412.81
590,397.91
591,289.05
592,434.11
593,450.84
594,755.87
595,1044.74
596,863.58
597,638.82
598,587.96
599,490.38
600,413.67
601,232.27
602,161.38
603,185.58
604,181.44
605,265.53
606,423.48
607,369.51
608,613.38
609,512.79
610,565.77
611,410.64
612,404.22
613,429.77
614,241.63
615,379.56
616,597.41
617,757.72
618,632.96
619,932.53
620,626.37
621,708.2
622,703.74
623,478.42
624,446.25
625,244.25
626,228.75
627,178.15
628,240.11
629,454.24
630,482.05
631,571.33
632,673.22
633,815.8
634,692.46
635,680.78
636,607.24
637,560.72
638,309.85
639,496.01
640,494.49
641,619.76
642,800.66
643,1141.45
644,904.9
645,923.7
646,785.51
647,498.38
648,371.09
649,299.51
650,202.67
651,179.81
652,234.62
653,351.98
654,445.67
655,549.31
656,603.38
657,730.55
658,505.35
659,675.37
660,566.64
661,391.19
662,366.73
663,377.43
664,568.33
665,791.66
666,788.44
667,877.28
668,1234.87
669,701.81
670,666.42
671,453.49
672,272.78
673,313.78
674,193.33
675,170.91
676,188.9
677,289.6
678,547.8
679,657.26
680,549.44
681,407.73
682,439.13
683,540.27
684,400.63
685,383.02
686,378.67
687,489.32
688,533.27
689,787.73
690,988.26
691,1002.36
692,842.74
693,825.04
694,726.79
695,454.95
696,502.33
697,350.8
698,238.02
699,197.13
700,335.64
701,480.46
702,611.74
703,775.39
704,748.41
705,837.84
706,668.68
707,596.6
708,709.32
709,601.91
710,396.51
711,512.85
712,702.9
713,1106.59
714,1176.77
715,1268.82
716,1553.02
717,813.66
718,763.97
719,587.57
720,326.76
721,325.8
722,224.23
723,221.45
724,204.35
725,564.25
726,530.02
727,664.52
728,658.76
729,775.51
730,663.46
731,722.01
732,610.61
733,481.71
734,392.1
735,506.29
736,622.8
737,896.26
738,791.02
739,1261.32
740,1151.75
741,999.92
742,945.05
743,497.93
744,456.62
745,440.14
746,182.61
747,210.13
748,292.6
749,535.73
750,564.33
751,670.55
752,611.13
753,588.99
754,825.9
755,779.62
756,569.28
757,638.38
758,478.9
759,438.24
760,525.36
761,763.65
762,1221.48
763,1110.79
764,1152.27
765,867.34
766,924.13
767,685.56
768,461.47
769,259.28
770,207.08
771,221.1
772,207.31
773,314.25
774,483.16
775,489.0
776,778.33
777,696.37
778,622.7
779,747.37
780,666.73
781,519.76
782,357.5
783,425.93
784,721.89
785,829.4
786,820.75
787,1156.71
788,1158.24
789,873.91
790,698.05
791,367.12
792,223.82
793,288.29
794,133.25
795,141.04
796,193.03
797,179.88
798,377.17
799,467.69
800,601.04
801,544.36
802,477.22
803,470.1
804,402.27
805,359.14
806,312.82
807,203.75
808,348.93
809,465.27
810,611.14
811,641.49
812,701.26
813,608.54
814,570.29
815,353.05
816,291.4
817,300.2
818,193.43
819,202.45
820,242.21
821,450.78
822,724.64
823,626.35
824,683.69
825,774.87
826,505.6
827,653.75
828,506.95
829,371.3
830,621.55
831,524.16
832,572.25
833,885.48
834,1034.7
835,1142.34
836,1245.29
837,1237.23
838,613.98
839,408.19
840,342.82
841,223.07
842,121.42
843,138.61
844,166.3
845,301.51
846,442.59
847,328.31
848,769.61
849,601.59
850,542.43
851,632.71
852,493.32
853,497.34
854,346.0
855,348.68
856,454.26
857,747.25
858,1154.59
859,1144.57
860,1172.65
861,999.01
862,722.63
863,444.92
864,377.23
865,312.79
866,219.59
867,171.89
868,232.58
869,437.6
870,552.28
871,703.98
872,629.57
873,679.82
874,548.68
875,757.04
876,534.35
877,391.12
878,377.77
879,438.38
880,572.85
881,1099.36
882,955.01
883,1074.98
884,1160.06
885,825.85
886,643.01
887,551.86
888,385.49
889,304.54
890,157.19
891,194.39
892,260.77
893,303.4
894,474.94
895,496.3
896,714.53
897,893.12
898,747.44
899,685.03
900,723.0
901,520.96
902,587.1
903,491.86
904,484.83
905,923.06
906,1051.23
907,1055.1
908,1255.45
909,1018.05
910,758.94
911,412.8
912,274.79
913,212.47
914,121.24
915,192.6
916,202.23
917,406.54
918,349.02
919,538.39
920,624.38
921,454.94
922,759.87
923,461.33
924,436.64
925,428.0
926,356.36
927,396.69
928,445.4
929,585.18
930,865.57
931,1093.5
932,915.18
933,789.95
934,539.34
935,484.13
936,410.38
937,311.44
938,171.1
939,198.79
940,254.0
941,401.98
942,615.23
943,674.88
944,595.84
945,651.58
946,637.04
947,438.68
948,762.67
949,469.85
950,405.31
951,352.64
952,688.33
953,634.03
954,717.31
955,823.77
956,1017.34
957,778.08
958,792.39
959,611.25
960,339.1
961,252.38
962,154.5
963,100.56
964,267.97
965,290.39
966,423.23
967,425.16
968,348.97
969,666.74
970,819.45
971,564.16
972,390.6
973,387.61
974,305.87
975,334.36
976,554.53
977,668.89
978,993.96
979,870.55
980,751.93
981,751.71
982,482.55
983,439.86
984,318.07
985,290.74
986,195.32
987,161.16
988,252.54
989,406.36
990,453.75
991,423.76
992,620.3
993,698.18
994,677.01
995,511.29
996,538.47
997,419.43
998,449.43
999,458.74
1000,576.43
1001,621.95
1002,754.58
1003,873.62
1004,995.23
1005,798.92
1006,598.23
1007,550.53
1008,380.15
1009,261.69
1010,202.15
1011,211.21
1012,251.61
1013,440.34
1014,347.17
1015,583.62
1016,465.17
1017,526.55
1018,602.73
1019,528.15
1020,572.71
1021,334.72
1022,508.96
1023,392.43
1024,575.76
1025,914.83
1026,784.13
1027,813.8
1028,978.98
1029,957.8
1030,800.44
1031,536.73
1032,346.28
1033,204.55
1034,170.11
1035,167.08
1036,242.57
1037,339.63
1038,384.27
1039,635.13
1040,537.65
1041,602.46
1042,651.72
1043,436.51
1044,553.22
1045,422.07
1046,277.33
1047,359.98
1048,570.57
1049,581.32
1050,1147.86
1051,1106.0
1052,868.01
1053,593.96
1054,480.47
1055,400.78
1056,383.67
1057,275.1
1058,206.66
1059,199.59
1060,300.19
1061,382.37
1062,490.9
1063,595.7
1064,655.32
1065,687.4
1066,732.98
1067,581.79
1068,622.22
1069,531.98
1070,417.01
1071,318.06
1072,462.32
1073,608.93
1074,973.46
1075,1036.82
1076,1007.98
1077,834.34
1078,667.48
1079,305.03
1080,429.61
1081,311.47
1082,189.59
1083,183.62
1084,262.18
1085,536.04
1086,508.05
1087,515.08
1088,562.88
1089,554.59
1090,565.49
1091,668.63
1092,685.72
1093,542.74
1094,642.38
1095,356.19
1096,564.63
1097,570.88
1098,895.53
1099,1151.58
1100,966.61
1101,863.85
1102,775.15
1103,511.6
1104,431.92
1105,273.77
1106,220.79
1107,174.35
1108,294.46
1109,443.7
1110,619.01
1111,544.0
1112,746.94
1113,738.86
1114,787.48
1115,970.34
1116,646.39
1117,731.64
1118,459.29
1119,424.38
1120,591.58
1121,794.1
1122,1109.89
1123,1134.22
1124,1171.2
1125,910.22
1126,685.91
1127,720.21
1128,373.76
1129,283.12
1130,213.14
1131,176.47
1132,273.63
1133,333.54
1134,470.65
1135,639.88
1136,489.48
1137,661.08
1138,634.62
1139,556.74
1140,584.02
1141,525.24
1142,405.01
1143,396.01
1144,586.86
1145,516.65
1146,962.01
1147,1088.6
1148,985.53
1149,903.11
1150,702.51
1151,478.76
1152,368.16
1153,264.56
1154,175.7
1155,223.36
1156,205.87
1157,328.38
1158,476.78
1159,485.54
1160,603.63
1161,504.25
1162,652.87
1163,545.1
1164,526.05
1165,360.95
1166,423.18
1167,499.01
1168,496.04
1169,717.6
1170,969.79
1171,992.77
1172,559.96
1173,896.28
1174,552.47
1175,459.86
1176,327.93
1177,301.68
1178,189.19
1179,247.7
1180,261.77
1181,249.77
1182,518.21
1183,534.14
1184,582.3
1185,650.31
1186,646.93
1187,610.17
1188,349.21
1189,425.87
1190,375.3
1191,387.16
1192,641.96
1193,532.61
1194,858.37
1195,783.99
1196,754.54
1197,759.26
1198,524.56
1199,634.44
1200,269.47
1201,241.24
1202,171.44
1203,159.19
1204,177.16
1205,403.38
1206,466.83
1207,562.18
1208,580.92
1209,736.26
1210,490.19
1211,538.59
1212,483.12
1213,470.09
1214,410.55
1215,464.27
1216,540.3
1217,711.68
1218,986.19
1219,769.49
1220,711.08
1221,661.41
1222,553.43
1223,440.9
1224,328.58
1225,309.92
1226,162.25
1227,204.39
1228,249.93
1229,371.91
1230,440.7
1231,721.57
1232,605.3
1233,624.76
1234,851.23
1235,717.35
1236,555.49
1237,450.27
1238,356.09
1239,364.9
1240,532.75
1241,707.0
1242,938.79
