,0
532,10367239
533,10309300
534,10401447
535,10308574
536,10254998
537,10349523
538,10362644
539,10477549
540,10497472
541,10714593
542,10988586
543,11166571
544,11407179
545,11417781
546,11493115
547,11397293
548,11253804
549,11088850
550,10916335
551,10755331
552,10620002
553,10506409
554,10402264
555,10261432
556,10233200
557,10103815
558,9934135
559,9832778
560,9701541
561,9462458
562,9744806
563,9899208
564,10018804
565,9788688
566,9899427
567,9729715
568,9495380
569,9347587
570,9051846
571,8828863
572,8780997
573,8749566
574,8555127
575,8327367
576,8114138
577,8076702
578,8013701
579,8111889
580,8028153
581,7941447
582,7768189
583,7953136
584,7991394
585,8004517
586,8105453
587,8088330
588,8175933
589,8295372
590,8475605
591,8646649
592,8775335
593,9041490
594,9453164
595,9766455
596,10053937
597,10180413
598,10350555
599,10614898
600,10889635
601,10992015
602,10986499
603,10897105
604,10758307
605,10661694
606,10601201
607,10527885
608,10496358
609,10381509
610,10193140
611,10228068
612,10185478
613,10181365
614,10237536
615,10248031
616,10318902
617,10090470
618,9908648
619,9812184
620,9814918
621,9843960
622,9921640
623,9995264
624,10064172
625,9986655
626,10054661
627,10123694
628,10173472
629,10235706
630,10274727
631,10333528
632,10316018
633,10457986
634,10451659
635,10580172
636,10841026
637,11123940
638,11435142
639,11706442
640,11730323
641,11772293
642,11655670
643,11599034
644,11479155
645,11351414
646,11143808
647,10988710
648,10866767
649,10713675
650,10582345
651,10416141
652,10134772
653,10149100
654,10143181
655,10025503
656,9779401
657,9964895
658,10147195
659,10228615
660,10168389
661,10189296
662,10083011
663,9876634
664,9573615
665,9405721
666,9259753
667,9117225
668,8971913
669,8816230
670,8586235
671,8496148
672,8366081
673,8218593
674,8117967
675,8180435
676,8092125
677,8044989
678,8075280
679,8159609
680,8317714
681,8277581
682,8356305
683,8464515
684,8586331
685,8740126
686,8951414
687,9164662
688,9435360
689,9693584
690,10089899
691,10356653
692,10496197
693,10781821
694,10941487
695,11037046
696,11096734
697,11203682
698,11194076
699,11118301
700,11142822
701,11082886
702,11035782
703,10916701
704,10858527
705,10661728
706,10677791
707,10646092
708,10602310
709,10567694
710,10538064
711,10519436
712,10348645
713,10307284
714,10380228
715,10426653
716,10442712
717,10496670
718,10553022
719,10509382
720,10595160
721,10547695
722,10526531
723,10586908
724,10667785
725,10807679
726,10873238
727,10924797
728,10766447
729,10753134
730,10919341
731,11019247
732,11298310
733,11613335
734,11849195
735,11922680
736,11851392
737,11808415
738,11745673
739,11690088
740,11444099
741,11240674
742,11083432
743,11027789
744,10900408
745,10731003
746,10557937
747,10306241
748,10230192
749,10201537
750,10052099
751,9828955
752,10015785
753,10257156
754,10363614
755,10145558
756,10318082
757,10123203
758,9876368
759,9578131
760,9381218
761,9108014
762,8941068
763,8821755
764,8665899
765,8526105
766,8377002
767,8400888
768,8266031
769,8162004
770,8194942
771,8116956
772,8088914
773,8044381
774,8175835
775,8168582
776,8184408
777,8154277
778,8177943
779,8400739
780,8473967
781,8682083
782,8824661
783,9139125
784,9450400
785,9775433
786,10053317
787,10220242
788,10406095
789,10613379
790,10620017
791,10852384
792,10894231
793,10866742
794,10742617
795,10830266
796,10852199
797,10905046
798,10849414
799,10754488
800,10812924
801,10790685
802,10795005
803,10828246
804,10846261
805,10979660
806,10954354
807,10778182
808,10682862
809,10628140
810,10691585
811,10742024
812,10775446
813,10826314
814,10737129
815,10760909
816,10647221
817,10623413
818,10720688
819,10816414
820,10707380
821,10751769
822,10761213
823,10735853
824,10825557
825,10920287
826,11001221
827,11234220
828,11544124
829,11742018
830,11829317
831,11739741
832,11773235
833,11643723
834,11538358
835,11494261
836,11361976
837,11211257
838,11041424
839,10919933
840,10778146
841,10656278
842,10375893
843,10259726
844,10183787
845,10037912
846,9816939
847,10057100
848,10411251
849,10402509
850,10274277
851,10395312
852,10195038
853,10001589
854,9907947
855,9667709
856,9318331
857,9315421
858,9087939
859,8938645
860,8868988
861,8809978
862,8717023
863,8626301
864,8568300
865,8620332
866,8538298
867,8496637
868,8565966
869,8532570
870,8568719
871,8634102
872,8675905
873,8766556
874,8691237
875,8956386
876,9061808
877,9205654
878,9553862
879,9847650
880,10272874
881,10552717
882,10678826
883,10991310
884,11161128
885,11243243
886,11328056
887,11413618
888,11361350
889,11205818
890,11226790
891,11149918
892,11081522
893,10954115
894,10898395
895,10870603
896,10754743
897,10596496
898,10596294
899,10564173
900,10583608
901,10435402
902,10194340
903,10169364
904,10102876
905,10133083
906,10185887
907,10145485
908,10237662
909,10406186
910,10376752
911,10358281
912,10464592
913,10418652
914,10464193
915,10642823
916,10627781
917,10656905
918,10695971
919,10639591
920,10854034
921,10968024
922,11264002
923,11586567
924,11700496
925,11705027
926,11561725
927,11633327
928,11571600
929,11541119
930,11370106
931,11074811
932,10900299
933,10804277
934,10798387
935,10673649
936,10473881
937,10365019
938,10130103
939,10034437
940,9973651
941,9934567
942,10108821
943,10352037
944,10498464
945,10449350
946,10514234
947,10507049
948,10280524
949,10090791
950,9692497
951,9512839
952,9281619
953,9178744
954,9052852
955,9011354
956,8786546
957,8822552
958,8693277
959,8635038
960,8489949
961,8374233
962,8307346
963,8297709
964,8320705
965,8241609
966,8179481
967,8040929
968,8142458
969,8255477
970,8249413
971,8164879
972,8295580
973,8418038
974,8454690
975,8520246
976,8583360
977,8528580
978,8532996
979,8626275
980,8784756
981,9158058
982,9286911
983,9355820
984,9283475
985,9377845
986,9602938
987,9685127
988,9722252
989,9670203
990,9621226
991,9736051
992,9678656
993,9629327
994,9572596
995,9633748
996,9712827
997,9635788
998,9571368
999,9686085
1000,9602656
1001,9628739
1002,9559543
1003,9526868
1004,9428018
1005,9261106
1006,9122190
1007,9126247
1008,8934396
1009,9139905
1010,9130358
1011,9231965
1012,9259015
1013,9382625
1014,9464355
1015,9543344
1016,9566430
1017,9748364
1018,10305048
1019,10499065
1020,10695892
1021,10649420
1022,10641128
1023,10627144
1024,10580538
1025,10585182
1026,10388634
1027,10228093
1028,10175666
1029,10014908
1030,9855884
1031,9669669
1032,9657425
1033,9518455
1034,9439436
1035,9311244
1036,9314987
1037,9447467
1038,9654206
1039,9735554
1040,9697166
1041,9920426
1042,9733155
1043,9719085
1044,9611568
1045,9370092
1046,9229287
1047,9136034
1048,9108701
1049,8903669
1050,8853831
1051,8707951
1052,8579806
1053,8602440
1054,8449920
1055,8487329
1056,8339672
1057,8279657
1058,8184206
1059,8092062
1060,8205711
1061,8260628
1062,8189684
1063,8088941
1064,8063491
1065,8136646
1066,8151236
1067,8120581
1068,8156036
1069,8148431
1070,8195688
1071,8216337
1072,8327898
1073,8236985
1074,8400959
1075,8390722
1076,8469374
1077,8663379
1078,8677362
1079,8759948
1080,8864879
1081,8796719
1082,8746884
1083,8792278
1084,8761798
1085,8809997
1086,8720150
1087,8724805
1088,8660185
1089,8598923
1090,8550219
1091,8718681
1092,8782678
1093,8689468
1094,8557608
1095,8465717
1096,8449197
1097,8328474
1098,8223382
1099,8188859
1100,8177725
1101,8218483
1102,8361561
1103,8379261
1104,8518167
1105,8454596
1106,8479022
1107,8626964
1108,8690378
1109,8706955
1110,8821228
1111,8981813
1112,9322652
1113,9713790
1114,10039420
1115,10176061
1116,10177479
1117,10329002
1118,10339131
1119,10336999
1120,10175082
1121,10152594
1122,10101503
1123,10050359
1124,9975530
1125,9836225
1126,9733520
1127,9637191
1128,9514562
1129,9435793
1130,9323645
1131,9215846
1132,9407097
1133,9519695
1134,9482885
1135,9431712
1136,9744632
1137,9531220
1138,9296544
1139,9106732
1140,8837469
1141,8778825
1142,8543688
1143,8497448
1144,8451646
1145,8296008
1146,8209266
1147,8122802
1148,8055611
1149,7939400
1150,7869575
1151,7856310
1152,7802996
1153,7829807
1154,7803724
1155,7804717
1156,7847746
1157,7893900
1158,7952948
1159,8063614
