date,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN
2016/11/11,29.00 ,86,131,435,5,22,3,1.0000 ,0.16 ,1
2016/11/14,29.00 ,91,131,437,5,22,3,1.0000 ,0.16 ,2
2016/11/17,29.00 ,93,133,441,5,21,3,0.5000 ,0.16 ,2
2016/11/20,29.00 ,95,133,444,5,21,3,1.0000 ,0.16 ,1
2016/11/23,29.00 ,97,132,448,5,21,3,1.0000 ,0.41 ,1
2016/11/26,29.00 ,99,132,450,5,21,3,1.0000 ,0.43 ,3
2016/11/29,29.00 ,105,133,450,5,21,3,0.0000 ,0.50 ,1
2016/12/2,29.00 ,104,134,449,5,21,3,0.0000 ,0.50 ,1
2016/12/5,29.00 ,104,135,451,5,21,3,0.0000 ,0.50 ,1
2016/12/8,29.00 ,125,140,451,5,21,3,1.0000 ,0.42 ,1
2016/12/11,29.00 ,64,142,452,5,21,3,1.0000 ,0.44 ,1
2016/12/14,29.00 ,80,143,456,5,21,3,1.0000 ,0.44 ,1
2016/12/17,29.00 ,75,145,457,5,21,3,1.0000 ,0.43 ,1
2016/12/20,29.00 ,73,149,460,5,21,3,0.5000 ,0.37 ,1
2016/12/23,29.00 ,74,150,460,5,21,3,0.5000 ,0.38 ,1
2016/12/26,29.00 ,81,150,460,5,21,3,0.5000 ,0.38 ,1
2016/12/29,29.00 ,79,150,459,5,21,3,0.5000 ,0.38 ,1
2017/1/1,29.00 ,80,152,460,5,21,3,0.5000 ,0.21 ,1
2017/1/4,29.00 ,65,153,460,5,21,3,0.5000 ,0.40 ,1
2017/1/7,29.00 ,67,156,457,5,21,3,0.5000 ,0.32 ,1
2017/1/10,29.00 ,68,158,459,5,21,3,0.5000 ,0.32 ,1
2017/1/13,29.00 ,69,162,460,5,21,3,0.5000 ,0.32 ,2
