,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN
143,2,1,0,2,1,1,2,4,2,0
144,2,1,0,2,1,1,2,2,1,0
145,2,2,0,2,1,1,2,4,1,0
146,2,1,0,0,1,1,2,1,1,0
147,2,1,0,2,1,1,2,1,2,0
148,2,1,0,2,1,1,2,2,2,0
149,2,1,0,2,1,1,2,3,2,0
150,2,1,0,2,1,1,2,4,2,0
151,2,1,0,2,1,1,2,4,2,0
152,2,1,0,2,1,1,2,1,1,0
153,2,1,0,2,1,1,2,4,1,0
154,2,1,0,2,1,1,2,4,1,0
155,2,1,0,2,1,1,2,4,1,0
156,2,2,0,2,1,1,2,4,1,0
157,2,2,0,0,1,1,2,3,1,0
158,0,0,0,0,0,0,0,4,1,0
159,0,0,0,0,0,0,0,4,1,0
160,0,0,0,0,0,0,0,3,1,0
161,0,0,0,0,0,0,0,4,2,0
162,0,0,0,0,0,0,0,4,2,0
163,0,0,0,0,0,0,0,0,1,0
164,0,0,0,0,0,0,0,0,1,0
165,0,0,0,0,0,0,0,4,1,0
166,0,0,0,0,0,0,0,4,1,0
167,0,0,0,0,0,0,0,0,1,0
168,0,0,0,0,0,0,0,0,1,0
169,0,0,0,0,0,0,0,4,1,0
170,0,0,0,0,0,0,0,4,1,0
171,0,0,0,0,0,0,0,4,1,0
172,0,0,0,0,0,0,0,4,1,0
173,0,0,0,0,0,0,0,4,1,0
174,0,0,0,0,0,0,0,2,1,0
175,0,0,0,0,0,0,0,2,2,0
176,0,0,0,0,0,0,0,2,2,0
177,0,0,0,0,0,0,0,4,3,0
178,0,0,0,0,0,0,0,4,3,0
179,0,0,0,0,0,0,0,4,3,0
180,0,0,0,0,0,0,0,4,3,0
181,0,0,0,0,0,0,0,4,3,0
182,0,0,0,0,0,0,0,4,3,0
183,0,0,0,0,0,0,0,4,3,0
184,0,0,0,0,0,0,0,4,3,0
185,0,0,0,0,0,0,0,4,2,0
186,0,0,0,0,0,0,0,4,2,0
187,0,0,0,0,0,0,0,4,2,0
188,0,0,0,0,0,0,0,4,2,0
189,0,0,0,0,0,0,0,4,2,0
190,0,0,0,0,0,0,0,0,2,0
191,0,0,0,0,0,0,0,0,1,0
192,0,0,0,0,0,0,0,4,1,0
193,0,0,0,0,0,0,0,3,1,0
194,0,0,0,0,0,0,0,3,1,0
195,0,0,0,0,0,0,0,3,1,0
196,0,0,0,0,0,0,0,4,1,0
197,0,0,0,0,0,0,0,1,2,0
198,0,0,0,0,0,0,0,1,2,0
199,0,0,0,0,0,0,0,1,2,0
200,0,0,0,0,0,0,0,0,3,0
201,0,0,0,0,0,0,0,0,3,0
202,0,0,0,0,0,0,0,0,3,0
203,0,0,0,0,0,0,0,4,3,0
204,0,0,0,0,0,0,0,0,3,0
205,0,0,0,0,0,0,0,0,4,0
206,0,0,0,0,0,0,0,0,4,0
207,0,0,0,0,0,0,0,4,4,0
208,0,0,0,0,0,0,0,4,4,0
209,0,0,0,0,0,0,0,2,3,0
210,0,0,0,0,0,0,0,2,3,0
211,0,0,0,0,0,0,0,2,3,0
212,0,0,0,0,0,0,0,2,3,0
213,0,0,0,0,0,0,0,4,2,0
214,0,0,0,0,0,0,0,4,2,0
215,0,0,0,0,0,0,0,4,2,0
216,0,0,0,0,0,0,0,4,1,0
217,0,0,0,0,0,0,0,3,1,0
218,0,0,0,0,0,0,0,2,1,0
219,0,0,0,0,0,0,0,2,1,0
220,0,0,0,0,0,0,0,2,3,0
221,0,0,0,0,0,0,0,0,3,0
222,0,0,0,0,0,0,0,1,3,0
223,0,0,0,0,0,0,0,1,3,0
224,0,0,0,0,0,0,0,1,3,0
225,0,0,0,0,0,0,0,1,3,0
226,0,0,0,0,0,0,0,1,3,0
227,0,0,0,0,0,0,0,1,4,0
228,0,0,0,0,0,0,0,1,4,0
229,0,0,0,0,0,0,0,1,4,0
230,0,0,0,0,0,0,0,1,3,0
231,0,0,0,0,0,0,0,1,3,0
232,0,0,0,0,0,0,0,1,2,0
233,0,0,0,0,0,0,0,1,2,0
234,0,0,0,0,0,0,0,1,2,0
235,0,0,0,0,0,0,0,1,2,0
236,0,0,0,0,0,0,0,1,2,0
237,0,0,0,0,0,0,0,2,1,0
238,0,0,0,0,0,0,0,2,1,0
239,0,0,0,0,0,0,0,2,1,0
240,0,0,0,0,0,0,0,4,2,0
241,0,0,0,0,0,0,0,4,2,0
242,0,0,0,0,0,0,0,1,1,0
243,0,0,0,0,0,0,0,4,1,0
244,0,0,0,0,0,0,0,4,1,0
245,0,0,0,0,0,0,0,4,1,0
246,0,0,0,0,0,0,0,4,1,0
247,0,0,0,0,0,0,0,4,1,0
248,0,0,0,0,0,0,0,0,1,0
249,0,0,0,0,0,0,0,0,1,0
250,0,0,0,0,0,0,0,0,1,0
251,0,0,0,0,0,0,0,0,1,0
252,0,0,0,0,0,0,0,2,1,0
253,0,0,0,0,0,0,0,2,1,0
254,0,0,0,0,0,0,0,2,2,0
255,0,0,0,0,0,0,0,4,2,0
256,0,0,0,0,0,0,0,4,3,0
257,0,0,0,0,0,0,0,4,3,0
258,0,0,0,0,0,0,0,0,3,0
259,0,0,0,0,0,0,0,0,3,0
260,0,0,0,0,0,0,0,0,3,0
261,0,0,0,0,0,0,0,0,3,0
262,0,0,0,0,0,0,0,0,3,0
263,0,0,0,0,0,0,0,4,3,0
264,0,0,0,0,0,0,0,4,2,0
265,0,0,0,0,0,0,0,4,2,0
266,0,0,0,0,0,0,0,4,2,0
267,0,0,0,0,0,0,0,3,2,0
268,0,0,0,0,0,0,0,1,2,0
269,0,0,0,0,0,0,0,4,2,0
270,0,0,0,0,0,0,0,3,1,0
