,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN,v1,v2
121,2,1,0,2,2,1,2,2,0,0,2,1
122,2,1,0,2,2,1,2,3,0,0,2,1
123,2,1,0,2,1,1,2,3,0,0,2,1
124,2,1,0,2,1,1,2,4,0,0,3,1
125,2,1,0,2,1,1,2,0,0,0,0,1
126,2,1,0,2,1,1,2,3,0,0,2,1
127,2,1,0,2,1,1,2,3,0,0,2,1
128,2,1,0,2,1,1,2,4,0,0,3,1
129,2,0,0,2,1,1,2,2,0,0,2,0
130,2,1,0,2,1,1,2,2,0,0,2,1
131,2,0,0,2,1,1,2,3,0,0,2,0
132,2,0,0,2,1,1,2,3,0,0,2,0
133,2,0,0,2,1,1,2,4,0,0,3,0
134,2,0,0,2,1,1,2,3,0,0,2,0
135,2,0,0,2,1,1,2,2,0,0,2,0
136,2,1,0,2,1,1,2,1,0,0,1,1
137,2,2,0,2,1,1,2,3,0,0,2,2
138,2,1,0,2,1,1,2,3,0,0,2,1
139,2,1,0,2,1,1,2,2,1,0,2,1
140,2,1,0,2,1,1,2,4,1,0,4,1
141,2,1,0,2,1,1,2,2,1,0,2,1
142,2,1,0,2,1,1,2,2,1,0,2,1
143,2,1,0,2,1,1,2,4,2,0,4,1
144,2,1,0,2,1,1,2,2,1,0,2,1
145,2,2,0,2,1,1,2,4,1,0,4,2
146,2,1,0,0,1,1,2,1,1,0,2,1
147,2,1,0,2,1,1,2,1,2,0,2,1
148,2,1,0,2,1,1,2,2,2,0,3,1
149,2,1,0,2,1,1,2,3,2,0,4,1
150,2,1,0,2,1,1,2,4,2,0,4,1
151,2,1,0,2,1,1,2,4,2,0,4,1
152,2,1,0,2,1,1,2,1,1,0,2,1
153,2,1,0,2,1,1,2,4,1,0,4,1
154,2,1,0,2,1,1,2,4,1,0,4,1
155,2,1,0,2,1,1,2,4,1,0,4,1
156,2,2,0,2,1,1,2,4,1,0,4,2
157,2,2,0,0,1,1,2,3,1,0,3,2
158,0,0,0,0,0,0,0,4,1,0,2,0
159,0,0,0,0,0,0,0,4,1,0,2,0
160,0,0,0,0,0,0,0,3,1,0,2,0
161,0,0,0,0,0,0,0,4,2,0,3,0
162,0,0,0,0,0,0,0,4,2,0,3,0
163,0,0,0,0,0,0,0,0,1,0,0,0
164,0,0,0,0,0,0,0,0,1,0,0,0
165,0,0,0,0,0,0,0,4,1,0,2,0
166,0,0,0,0,0,0,0,4,1,0,2,0
167,0,0,0,0,0,0,0,0,1,0,0,0
168,0,0,0,0,0,0,0,0,1,0,0,0
169,0,0,0,0,0,0,0,4,1,0,2,0
170,0,0,0,0,0,0,0,4,1,0,2,0
171,0,0,0,0,0,0,0,4,1,0,2,0
172,0,0,0,0,0,0,0,4,1,0,2,0
173,0,0,0,0,0,0,0,4,1,0,2,0
174,0,0,0,0,0,0,0,2,1,0,1,0
175,0,0,0,0,0,0,0,2,2,0,2,0
176,0,0,0,0,0,0,0,2,2,0,2,0
177,0,0,0,0,0,0,0,4,3,0,4,0
178,0,0,0,0,0,0,0,4,3,0,4,0
179,0,0,0,0,0,0,0,4,3,0,4,0
180,0,0,0,0,0,0,0,4,3,0,4,0
181,0,0,0,0,0,0,0,4,3,0,4,0
182,0,0,0,0,0,0,0,4,3,0,4,0
183,0,0,0,0,0,0,0,4,3,0,4,0
184,0,0,0,0,0,0,0,4,3,0,4,0
185,0,0,0,0,0,0,0,4,2,0,3,0
186,0,0,0,0,0,0,0,4,2,0,3,0
