,Unnamed: 0,Unnamed: 0.1,361机务完成,365加油完成 缺失较多,368开客舱,369上轮档,370登机结束,378 配餐开始 8个,379清洁开始,380撤梯桥,637关客舱,641 靠梯桥,644 清洁完成,645开货仓,655 配餐完成,660 机务完成,662登机开始,668关货仓 ,669 撤轮档,date,flight,缺失个数,begin,count
0,0,0,-1,-1,-1,516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3844,22,0,1
2,2,2,-1,-1,2,95,-1,-1,-1,-1,-1,0,-1,3,-1,-1,-1,-1,-1,2017/7/18,MU5303,17,0,1
6,6,6,-1,-1,0,131,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3932,22,0,1
17,17,17,-1,-1,-1,604,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CA4319,17,0,1
19,19,19,-1,-1,0,422,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8316,22,0,1
26,26,26,-1,-1,0,460,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,2017/7/18,JD5132,18,0,1
43,43,43,-1,-1,-1,593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3218,22,0,1
47,47,47,-1,-1,-1,697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6916,23,0,1
49,49,49,-1,-1,-1,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3490,22,0,1
50,50,50,-1,-1,0,384,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6090,22,0,1
51,51,51,-1,-1,-1,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3812,23,0,1
54,54,54,-1,-1,-1,674,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3716,23,0,1
55,55,55,-1,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3802,22,0,1
62,62,62,-1,-1,-1,264,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6058,23,0,1
63,63,63,-1,-1,0,383,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6068,21,0,1
68,68,68,-1,-1,-1,753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3484,22,0,1
73,73,73,-1,-1,0,452,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ374,21,0,1
74,74,74,-1,-1,14,297,-1,-1,-1,-1,-1,15,-1,12,-1,-1,-1,-1,-1,2017/7/18,CA1837,18,0,1
75,75,75,-1,-1,8,637,-1,-1,-1,-1,-1,10,-1,4,-1,-1,-1,-1,-1,2017/7/18,CA4305,17,0,1
76,76,76,-1,-1,-1,673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3379,23,0,1
86,86,86,-1,-1,6,486,-1,-1,-1,-1,-1,6,-1,5,-1,-1,-1,-1,-1,2017/7/18,MU5311,17,0,1
89,89,89,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,HO1287,18,0,1
91,91,91,-1,-1,-1,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3224,23,0,1
92,92,92,-1,-1,-1,343,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8520,23,0,1
95,95,95,-1,-1,-1,615,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3638,22,0,1
97,97,97,-1,-1,1,511,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,FM9327,17,0,1
99,99,99,-1,-1,-1,694,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3874,23,0,1
115,115,115,-1,-1,-1,518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3512,23,0,1
118,118,118,-1,-1,11,136,-1,-1,-1,-1,-1,11,-1,8,-1,-1,-1,-1,-1,2017/7/18,SL8040,18,0,1
119,119,119,-1,-1,-1,105,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3514,23,0,1
120,120,120,-1,-1,0,679,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,2017/7/18,HU7676,18,0,1
124,124,124,-1,-1,-1,467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,FM9351,19,0,1
127,127,127,-1,-1,0,295,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU2869,17,0,1
128,128,128,-1,-1,-1,381,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ322,23,0,1
130,130,130,-1,-1,-1,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,HU7458,17,0,1
137,137,137,121,118,-1,657,-1,-1,-1,-1,-1,1,131,-1,-1,133,-1,-1,-1,2017/7/18,CZ6733,17,0,1
139,139,139,-1,-1,0,654,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2017/7/18,HU7837,17,0,1
141,141,141,-1,-1,0,765,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/7/18,MU2551,18,0,1
146,146,146,-1,-1,-1,358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3430,23,0,1
147,147,147,-1,-1,-1,155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3478,23,0,1
149,149,149,-1,-1,-1,472,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,Y87992,21,0,1
151,151,151,-1,-1,-1,642,-1,-1,-1,-1,-1,-1,159,-1,-1,164,-1,-1,-1,2017/7/18,CZ3387,21,0,1
158,158,158,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3868,23,0,1
163,163,163,-1,-1,0,582,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,2017/7/18,MU5287,17,0,1
164,164,164,-1,-1,-1,767,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3780,22,0,1
171,171,171,-1,-1,1,184,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU5741,17,0,1
180,180,180,-1,-1,13,407,-1,-1,-1,-1,-1,14,-1,12,-1,-1,-1,-1,-1,2017/7/18,CA4333,17,0,1
185,185,185,-1,-1,-1,396,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ308,22,0,1
186,186,186,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU5735,17,0,1
187,187,187,-1,-1,14,350,-1,-1,-1,-1,-1,14,-1,14,-1,-1,-1,-1,-1,2017/7/18,MU5132,17,0,1
192,192,192,-1,-1,-1,366,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ348,23,0,1
195,195,195,-1,-1,3,531,-1,-1,-1,-1,-1,5,-1,2,-1,-1,-1,-1,-1,2017/7/18,MU5237,18,0,1
198,198,198,-1,-1,-1,597,-1,-1,-1,-1,-1,0,103,-1,-1,103,-1,-1,-1,2017/7/18,CZ6771,20,0,1
200,200,200,-1,-1,0,665,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/7/18,MU5257,17,0,1
202,202,202,-1,-1,-1,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ306,22,0,1
203,203,203,-1,-1,-1,710,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3230,22,0,1
204,204,204,-1,-1,12,460,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,2017/7/18,MU5409,18,0,1
205,205,205,-1,-1,52,172,-1,-1,-1,-1,-1,48,-1,45,-1,-1,-1,-1,-1,2017/7/18,MU5733,17,0,1
206,206,206,-1,-1,-1,555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3526,24,0,1
207,207,207,-1,-1,0,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ350,22,0,1
208,208,208,-1,-1,-1,546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3326,22,0,1
209,209,209,-1,-1,-1,772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3958,22,0,1
210,210,210,-1,-1,0,531,-1,-1,-1,-1,-1,4,-1,0,-1,-1,-1,-1,-1,2017/7/18,CA430Q,18,0,1
219,219,219,-1,-1,-1,737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3696,23,0,1
221,221,221,-1,-1,0,546,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8490,22,0,1
226,226,226,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3636,22,0,1
232,232,232,-1,-1,0,450,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3062,21,0,1
235,235,235,-1,-1,0,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6729,22,0,1
237,237,237,-1,-1,0,662,-1,-1,-1,-1,-1,5,-1,0,-1,-1,-1,-1,-1,2017/7/18,MU5231,17,0,1
238,238,238,-1,-1,38,295,-1,-1,-1,-1,-1,37,-1,35,-1,-1,-1,-1,-1,2017/7/18,HU7007,18,0,1
241,241,241,-1,-1,-1,347,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3482,22,0,1
245,245,245,-1,-1,0,403,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8312,22,0,1
247,247,247,-1,-1,-1,71,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3400,23,0,1
250,250,250,-1,-1,0,139,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3850,22,0,1
251,251,251,-1,-1,1,207,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/7/18,HU7244,17,0,1
252,252,252,-1,-1,-1,142,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3198,22,0,1
254,254,254,-1,-1,-1,778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3706,23,0,1
260,260,260,-1,-1,0,392,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3068,21,0,1
261,261,261,-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,YTICU322,23,0,1
264,264,264,-1,-1,-1,682,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6735,23,0,1
275,275,275,-1,-1,-1,295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3650,22,0,1
287,287,287,-1,-1,-1,776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU5739,17,0,1
289,289,289,-1,-1,-1,83,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CA1365,18,0,1
290,290,290,-1,-1,0,379,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6060,22,0,1
291,291,291,109,109,-1,546,-1,-1,-1,-1,-1,-1,155,-1,-1,155,-1,-1,-1,2017/7/18,CZ6775,18,0,1
296,296,296,-1,-1,-1,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3510,23,0,1
300,300,300,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2017/7/18,PG881,18,0,1
311,311,311,-1,-1,-1,247,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3384,22,0,1
314,314,314,-1,-1,1,686,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,2017/7/18,FM9303,17,0,1
316,316,316,-1,-1,0,103,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU5239,18,0,1
317,317,317,-1,-1,0,354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ354,22,0,1
318,318,318,-1,-1,28,209,-1,-1,-1,-1,-1,29,-1,27,-1,-1,-1,-1,-1,2017/7/18,MU5215,17,0,1
327,327,327,182,-1,-1,557,-1,-1,-1,-1,-1,10,157,-1,-1,128,-1,-1,-1,2017/7/18,CZ3661,19,0,1
328,328,328,-1,-1,-1,447,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ386,22,0,1
330,330,330,-1,-1,-1,633,-1,-1,-1,-1,-1,3,168,-1,-1,168,-1,-1,-1,2017/7/18,CZ6777,20,0,1
331,331,331,-1,-1,2,508,-1,-1,-1,-1,-1,5,-1,4,-1,-1,-1,-1,-1,2017/7/18,9C8931,17,0,1
332,332,332,-1,-1,-1,202,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,HU7805,17,0,1
336,336,336,-1,-1,-1,700,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3186,23,0,1
339,339,339,-1,-1,6,340,-1,-1,-1,-1,-1,7,-1,7,-1,-1,-1,-1,-1,2017/7/18,8L997U,17,0,1
340,340,340,-1,-1,-1,382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3930,23,0,1
345,345,345,-1,-1,-1,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6851,23,0,1
349,349,349,-1,-1,-1,208,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3702,22,0,1
350,350,350,-1,-1,-1,445,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3334,21,0,1
352,352,352,-1,-1,0,619,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,EU2235,17,0,1
359,359,359,-1,-1,16,356,-1,-1,-1,-1,-1,16,-1,13,-1,-1,-1,-1,-1,2017/7/18,CA4301,19,0,1
363,363,363,-1,-1,-1,363,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2017/7/18,MU5225,18,0,1
364,364,364,-1,-1,-1,379,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3098,23,0,1
365,365,365,-1,-1,2,554,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,2017/7/18,3U8794,17,0,1
367,367,367,-1,-1,0,186,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,2017/7/18,GA898,18,0,1
368,368,368,153,123,-1,649,-1,-1,-1,-1,-1,-1,152,-1,-1,184,-1,-1,-1,2017/7/18,CZ6741,18,0,1
369,369,369,-1,-1,-1,199,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,HU7144,18,0,1
370,370,370,-1,-1,-1,407,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ634,23,0,1
374,374,374,-1,-1,1,123,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2017/7/18,GS7525,17,0,1
375,375,375,-1,-1,-1,726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,YTB9630,22,0,1
381,381,381,-1,-1,-1,468,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3132,22,0,1
385,385,385,-1,-1,-1,409,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3444,23,0,1
386,386,386,-1,-1,1,770,-1,-1,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,2017/7/18,JD5172,17,0,1
387,387,387,-1,-1,-1,588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3426,24,0,1
390,390,390,-1,-1,-1,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ344,23,0,1
391,391,391,-1,-1,-1,678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6785,24,0,1
394,394,394,-1,-1,0,589,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3040,22,0,1
396,396,396,-1,-1,0,131,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,HU7201,18,0,1
398,398,398,-1,-1,-1,607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3246,23,0,1
399,399,399,-1,-1,-1,691,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ656,23,0,1
400,400,400,-1,-1,0,402,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3520,21,0,1
401,401,401,-1,-1,-1,310,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3600,22,0,1
403,403,403,-1,-1,-1,216,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8514,23,0,1
406,406,406,-1,-1,0,545,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/7/18,MU2542,17,0,1
410,410,410,-1,-1,-1,752,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3778,23,0,1
413,413,413,-1,-1,0,401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU5309,17,0,1
414,414,414,-1,-1,-1,280,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,2017/7/18,Y87927,21,0,1
415,415,415,-1,-1,-1,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,YTBGC701,22,0,1
420,420,420,-1,-1,0,179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3054,22,0,1
421,421,421,-1,-1,-1,771,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3648,22,0,1
422,422,422,-1,-1,0,245,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ358,22,0,1
423,423,423,-1,-1,-1,645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,MU5313,17,0,1
424,424,424,176,155,-1,728,-1,-1,-1,-1,-1,3,154,-1,-1,154,-1,-1,-1,2017/7/18,CZ3506,19,0,1
426,426,426,-1,-1,-1,709,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ392,22,0,1
427,427,427,-1,-1,-1,496,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3942,21,0,1
432,432,432,-1,-1,-1,261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3328,22,0,1
437,437,437,-1,-1,-1,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3250,22,0,1
445,445,445,-1,-1,5,647,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,2017/7/18,FM9301,17,0,1
454,454,454,-1,-1,2,739,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,2017/7/18,CA4307,17,0,1
458,458,458,-1,-1,1,528,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,2017/7/18,HU7847,17,0,1
460,460,460,-1,-1,-1,757,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3574,23,0,1
462,462,462,-1,-1,-1,569,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,2017/7/18,CZ6154,22,0,1
464,464,464,-1,-1,-1,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ384,23,0,1
467,467,467,-1,-1,-1,460,-1,-1,-1,-1,-1,0,155,-1,-1,148,-1,-1,-1,2017/7/18,CZ3130,20,0,1
469,469,469,-1,-1,0,393,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/7/18,HU7154,17,0,1
470,470,470,-1,-1,0,460,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ366,21,0,1
474,474,474,-1,-1,-1,173,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,2017/6/10,MU2977,17,0,1
477,477,477,-1,-1,-1,169,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3932,23,0,1
478,478,478,-1,-1,0,516,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/6/10,PN6253,17,0,1
480,480,480,-1,-1,1,161,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2017/6/10,MU2947,17,0,1
485,485,485,-1,-1,1,617,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,2017/6/10,HU7379,17,0,1
489,489,489,-1,-1,12,616,-1,-1,-1,-1,-1,16,-1,11,-1,-1,-1,-1,-1,2017/6/10,CA4319,17,0,1
490,490,490,-1,-1,0,408,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ8316,20,0,1
494,494,494,-1,-1,-1,495,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3330,21,0,1
498,498,498,-1,-1,-1,265,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3438,22,0,1
502,502,502,-1,-1,-1,508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3924,21,0,1
504,504,504,-1,-1,-1,612,-1,-1,-1,-1,-1,-1,-1,-1,-1,193,-1,-1,-1,2017/6/10,CZ3796,21,0,1
505,505,505,-1,-1,3,778,-1,-1,-1,-1,-1,3,-1,0,-1,-1,-1,-1,-1,2017/6/10,GA896,17,0,1
509,509,509,-1,-1,-1,130,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3250,23,0,1
513,513,513,-1,-1,17,102,-1,-1,-1,-1,-1,20,-1,17,-1,-1,-1,-1,-1,2017/6/10,FM9313,17,0,1
521,521,521,-1,-1,-1,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3518,21,0,1
527,527,527,150,105,-1,718,-1,-1,-1,-1,-1,0,55,-1,-1,114,-1,-1,-1,2017/6/10,CZ6743,17,0,1
536,536,536,-1,-1,0,394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ6068,21,0,1
543,543,543,-1,-1,-1,742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ6787,22,0,1
544,544,544,-1,-1,-1,739,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3484,22,0,1
546,546,546,105,98,-1,687,-1,-1,-1,-1,-1,2,96,-1,-1,95,-1,-1,-1,2017/6/10,CZ6791,16,0,1
547,547,547,-1,-1,0,409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ8484,21,0,1
549,549,549,-1,-1,0,512,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ374,21,0,1
557,557,557,-1,-1,0,645,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ8336,22,0,1
566,566,566,-1,-1,1,615,-1,-1,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,2017/6/10,KN5899,17,0,1
572,572,572,-1,-1,0,764,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,2017/6/10,HU7009,17,0,1
577,577,577,-1,-1,0,393,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,2017/6/10,HU7857,17,0,1
580,580,580,-1,-1,-1,692,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ6789,23,0,1
584,584,584,-1,-1,-1,771,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3628,21,0,1
587,587,587,-1,-1,-1,510,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,MU2869,17,0,1
588,588,588,-1,-1,-1,355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ322,22,0,1
591,591,591,-1,-1,-1,626,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3300,21,0,1
600,600,600,-1,-1,-1,582,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3324,20,0,1
604,604,604,-1,-1,-1,727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3258,21,0,1
607,607,607,-1,-1,-1,291,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3430,22,0,1
608,608,608,-1,-1,-1,510,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3528,22,0,1
612,612,612,-1,-1,-1,664,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/6/10,HU7506,17,0,1
619,619,619,-1,-1,-1,687,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2017/6/10,CZ3540,21,0,1
624,624,624,-1,-1,78,254,-1,-1,-1,-1,-1,78,-1,77,-1,-1,-1,-1,-1,2017/6/10,MU5741,17,0,1
628,628,628,-1,-1,0,762,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,2017/6/10,HU7762,17,0,1
